Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
82608-63634,WR,Jakobi,Jakobi Meyers,Meyers,12.949999491373697,6,6800,IND@NE,NE,IND,,,,,,WR/FLEX
82608-89675,RB,Jonathan,Jonathan Taylor,Taylor,10.549999872843424,6,6800,IND@NE,IND,NE,O,Ankle,,,,RB/FLEX
82608-45859,QB,Derek,Derek Carr,Carr,14.648571559361049,7,6800,LV@JAC,LV,JAC,,,,,,QB
82608-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.1875,8,6800,LV@JAC,JAC,LV,,,,,,QB
82608-55635,WR,Chris,Chris Godwin,Godwin,9.116666793823242,6,6700,LAR@TB,TB,LAR,,,,,,WR/FLEX
82608-6654,QB,Matthew,Matthew Stafford,Stafford,13.017143249511719,7,6700,LAR@TB,LAR,TB,,,,,,QB
82608-29780,TE,Zach,Zach Ertz,Ertz,9.737500190734863,8,6600,SEA@ARI,ARI,SEA,,,,,,TE/FLEX
82608-90406,QB,Zach,Zach Wilson,Wilson,13.203999328613282,5,6600,BUF@NYJ,NYJ,BUF,,,,,,QB
82608-94534,WR,Gabe,Gabe Davis,Davis,12.300000508626303,6,6600,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
82608-40687,RB,James,James Conner,Conner,8.65999984741211,5,6600,SEA@ARI,ARI,SEA,Q,Ribs,,,,RB/FLEX
82608-85762,RB,Eno,Eno Benjamin,Benjamin,8.887499809265137,8,6600,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
82608-28744,RB,Raheem,Raheem Mostert,Mostert,9.175000190734863,8,6500,MIA@CHI,MIA,CHI,,,,,,RB/FLEX
82608-63589,QB,Sam,Sam Darnold,Darnold,14.18999989827474,12,6500,CAR@CIN,CAR,CIN,IR,Ankle,,,,QB
82608-56809,WR,Allen,Allen Lazard,Lazard,11.833333333333334,6,6500,GB@DET,GB,DET,Q,Shoulder,,,,WR/FLEX
82608-41827,QB,P.J.,P.J. Walker,Walker,9.364999771118164,4,6500,CAR@CIN,CAR,CIN,,,,,,QB
82608-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.714285714285714,7,6400,LAC@ATL,ATL,LAC,,,,,,RB/FLEX
82608-90584,QB,Mac,Mac Jones,Jones,11.344000244140625,5,6400,IND@NE,NE,IND,,,,,,QB
82608-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.757143293108259,7,6400,IND@NE,IND,NE,,,,,,WR/FLEX
82608-86080,TE,Kyle,Kyle Pitts,Pitts,6.899999891008649,7,6300,LAC@ATL,ATL,LAC,,,,,,TE/FLEX
82608-92560,QB,Sam,Sam Ehlinger,Ehlinger,7.539999961853027,1,6300,IND@NE,IND,NE,,,,,,QB
82608-60858,WR,Christian,Christian Kirk,Kirk,11.3125,8,6300,LV@JAC,JAC,LV,,,,,,WR/FLEX
82608-6616,QB,Matt,Matt Ryan,Ryan,14.63142830984933,7,6300,IND@NE,IND,NE,O,Shoulder,,,,QB
82608-22027,QB,Nick,Nick Foles,Foles,16.799999237060547,1,6300,IND@NE,IND,NE,,,,,,QB
82608-60947,QB,Jarrett,Jarrett Stidham,Stidham,2.880000114440918,1,6300,LV@JAC,LV,JAC,,,,,,QB
82608-70324,QB,Carson,Carson Wentz,Wentz,17.24333318074544,6,6300,MIN@WAS,WAS,MIN,IR,Finger,,,,QB
82608-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.357142857142858,7,6200,MIN@WAS,MIN,WAS,,,,,,TE/FLEX
82608-64576,RB,Damien,Damien Harris,Harris,8.342857360839844,7,6200,IND@NE,NE,IND,Q,Illness,,,,RB/FLEX
82608-87418,WR,Joshua,Joshua Palmer,Palmer,7.233333587646484,6,6200,LAC@ATL,LAC,ATL,,,,,,WR/FLEX
82608-41535,QB,Baker,Baker Mayfield,Mayfield,11.695999908447266,5,6200,CAR@CIN,CAR,CIN,,,,,,QB
82608-139985,QB,Bailey,Bailey Zappe,Zappe,10.53499984741211,4,6200,IND@NE,NE,IND,,,,,,QB
82608-69333,QB,Jacob,Jacob Eason,Eason,1.3600000143051147,1,6200,CAR@CIN,CAR,CIN,,,,,,QB
82608-39716,WR,Adam,Adam Thielen,Thielen,9.514285496303014,7,6200,MIN@WAS,MIN,WAS,,,,,,WR/FLEX
82608-104576,QB,Sam,Sam Howell,Howell,,,6100,MIN@WAS,WAS,MIN,,,,,,QB
82608-69777,WR,Darnell,Darnell Mooney,Mooney,6.112500190734863,8,6100,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
82608-94370,WR,Romeo,Romeo Doubs,Doubs,7.712500095367432,8,6100,GB@DET,GB,DET,,,,,,WR/FLEX
82608-11500,QB,Colt,Colt McCoy,McCoy,6.0428570338657925,7,6100,SEA@ARI,ARI,SEA,,,,,,QB
82608-86278,QB,Desmond,Desmond Ridder,Ridder,,,6100,LAC@ATL,ATL,LAC,,,,,,QB
82608-27986,QB,C.J.,C.J. Beathard,Beathard,-0.10000000149011612,1,6100,LV@JAC,JAC,LV,,,,,,QB
82608-69017,QB,Jordan,Jordan Love,Love,1.4600000381469727,2,6100,GB@DET,GB,DET,,,,,,QB
82608-87467,RB,Chuba,Chuba Hubbard,Hubbard,2.7166665395100913,6,6100,CAR@CIN,CAR,CIN,O,Ankle,,,,RB/FLEX
82608-31170,QB,Brandon,Brandon Allen,Allen,2.7719999313354493,5,6100,CAR@CIN,CIN,CAR,,,,,,QB
82608-22994,QB,Case,Case Keenum,Keenum,0.1599999964237213,2,6100,BUF@NYJ,BUF,NYJ,,,,,,QB
82608-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,7.994999885559082,4,6100,MIA@CHI,MIA,CHI,,,,,,QB
82608-91639,QB,Jake,Jake Fromm,Fromm,4.633333206176758,3,6100,MIN@WAS,WAS,MIN,,,,,,QB
82608-40482,QB,Tim,Tim Boyle,Boyle,7.585000038146973,4,6100,GB@DET,DET,GB,,,,,,QB
82608-64051,QB,Drew,Drew Lock,Lock,8.896666844685873,6,6100,SEA@ARI,SEA,ARI,,,,,,QB
82608-6714,QB,Joe,Joe Flacco,Flacco,15.879999796549479,3,6100,BUF@NYJ,NYJ,BUF,,,,,,QB
82608-41562,QB,Nick,Nick Mullens,Mullens,9.880000114440918,1,6100,MIN@WAS,MIN,WAS,,,,,,QB
82608-8803,QB,Chase,Chase Daniel,Daniel,-0.20000000298023224,1,6100,LAC@ATL,LAC,ATL,,,,,,QB
82608-7872,QB,Brian,Brian Hoyer,Hoyer,1.4800000190734863,1,6100,IND@NE,NE,IND,IR,Concussion,,,,QB
82608-47870,TE,Tyler,Tyler Higbee,Higbee,7.028571537562779,7,6100,LAR@TB,LAR,TB,,,,,,TE/FLEX
82608-28434,QB,Trevor,Trevor Siemian,Siemian,0.20000000298023224,1,6100,MIA@CHI,CHI,MIA,,,,,,QB
82608-90933,RB,Antonio,Antonio Gibson,Gibson,11.3125,8,6100,MIN@WAS,WAS,MIN,,,,,,RB/FLEX
82608-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.33000000317891437,6,6100,LAR@TB,TB,LAR,,,,,,QB
82608-56192,QB,John,John Wolford,Wolford,-0.44999998807907104,2,6100,LAR@TB,LAR,TB,,,,,,QB
82608-93107,RB,AJ,AJ Dillon,Dillon,7.175000190734863,8,6100,GB@DET,GB,DET,,,,,,RB/FLEX
82608-71710,QB,Nate,Nate Stanley,Stanley,,,6000,MIN@WAS,MIN,WAS,,,,,,QB
82608-30761,QB,Nathan,Nathan Peterman,Peterman,0.20000000298023224,1,6000,MIA@CHI,CHI,MIA,,,,,,QB
82608-89157,RB,Caleb,Caleb Huntley,Huntley,5.416666666666667,6,6000,LAC@ATL,ATL,LAC,,,,,,RB/FLEX
82608-62566,QB,Travis,Travis Jonsen,Jonsen,,,6000,LAR@TB,TB,LAR,,,,,,QB
82608-68741,QB,Brandon,Brandon Peters,Peters,,,6000,LAC@ATL,LAC,ATL,,,,,,QB
82608-27801,QB,Nate,Nate Sudfeld,Sudfeld,,,6000,GB@DET,DET,GB,,,,,,QB
82608-92362,QB,Levi,Levi Lewis,Lewis,,,6000,SEA@ARI,SEA,ARI,,,,,,QB
82608-130269,QB,Reid,Reid Sinnett,Sinnett,,,6000,MIA@CHI,MIA,CHI,,,,,,QB
82608-52451,RB,Samaje,Samaje Perine,Perine,4.375,8,6000,CAR@CIN,CIN,CAR,,,,,,RB/FLEX
82608-130288,RB,James,James Robinson,Robinson,8.600000381469727,8,6000,BUF@NYJ,NYJ,BUF,Q,Knee,,,,RB/FLEX
82608-84287,QB,Luis,Luis Perez,Perez,,,6000,LAR@TB,LAR,TB,,,,,,QB
82608-91468,QB,Chase,Chase Garbers,Garbers,,,6000,LV@JAC,LV,JAC,,,,,,QB
82608-93539,RB,Michael,Michael Carter,Carter,8.5,8,6000,BUF@NYJ,NYJ,BUF,,,,,,RB/FLEX
82608-60787,QB,Bryce,Bryce Perkins,Perkins,,,6000,LAR@TB,LAR,TB,,,,,,QB
82608-52606,QB,David,David Blough,Blough,0.6000000238418579,1,6000,MIN@WAS,MIN,WAS,,,,,,QB
82608-103824,QB,Easton,Easton Stick,Stick,,,6000,LAC@ATL,LAC,ATL,,,,,,QB
82608-32158,QB,Garrett,Garrett Gilbert,Gilbert,7.760000228881836,1,6000,IND@NE,NE,IND,,,,,,QB
